"route","guard","App.tsx line","implementation gap","widths","evidence","populated fixture"
"/landing","public","395","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/imprint","public","396","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/privacy","public","397","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/terms","public","398","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/support","public","399","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/pricing","public","400","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/login","public","403","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/onboarding","public","409","","","not included in general sweep","no"
"/discover","native","412","","","not included in general sweep","no"
"/discover/qr","native","413","","","not included in general sweep","no"
"/discover/requirements","native","414","","","not included in general sweep","no"
"/discover/regulations","native","415","","","not included in general sweep","no"
"/discover/checklists","native","416","","","not included in general sweep","no"
"/discover/lexicon","native","417","","","not included in general sweep","no"
"/discover/tips","native","418","","","not included in general sweep","no"
"/discover/*","native","419","","","not included in general sweep","no"
"/auth/callback","public","422","","","not included in general sweep","no"
"/auth/reset-password","public","423","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/p/:gtin/:serial","public","427","","360 / 390 / 768 / 1440","not-found state only","no"
"/01/:gtin/21/:serial","public","428","","360 / 390 / 768 / 1440","not-found state only","no"
"/p/:gtin/:serial/customs","public","429","","360 / 390 / 768 / 1440","not-found state only","no"
"/01/:gtin/21/:serial/customs","public","430","","360 / 390 / 768 / 1440","not-found state only","no"
"/transparency/:tenantSlug","public","434","","360 / 390 / 768 / 1440","sparse/error state; inconclusive","no"
"/t/:token","public","437","","360 / 390 / 768 / 1440","not-found state only","no"
"/widget/track","public","441","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/feedback/:token","public","444","","360 / 390 / 768 / 1440","mock response insufficient; inconclusive","no"
"/ideas/submit/:token","public","447","","360 / 390 / 768 / 1440","mock response insufficient; inconclusive","no"
"/ideas/:tenantSlug","public","448","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/embed/feedback/:tenantSlug","public","451","","360 / 390 / 768 / 1440","sparse/error state; inconclusive","no"
"/returns/portal/:tenantSlug","public","455","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/register/:tenantSlug","public","456","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/support/:tenantSlug","public","457","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/widerruf/:tenantSlug","public","458","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/track/:returnNumber?","public","462","","360 / 390 / 768 / 1440","not-found state only","no"
"/embed/portal/:tenantSlug","public","466","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/embed/register/:tenantSlug","public","467","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/embed/track/:tenantSlug","public","468","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/embed/support/:tenantSlug","public","469","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/embed/widerruf/:tenantSlug","public","470","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/embed/transparency/:tenantSlug","public","471","","360 / 390 / 768 / 1440","sparse/error state; inconclusive","no"
"/suppliers/register/:invitationCode","public","476","","360 / 390 / 768 / 1440","not-found state only","no"
"/suppliers/register/:invitationCode/success","public","477","","360 / 390 / 768 / 1440","not-found state only","no"
"/suppliers/register/:invitationCode/expired","public","478","","360 / 390 / 768 / 1440","not-found state only","no"
"/suppliers/data/:accessCode","public","482","","360 / 390 / 768 / 1440","not-found state only","no"
"/suppliers/data/:accessCode/submitted","public","483","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/customer/:tenantSlug/login","public","488","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/customer/:tenantSlug/register","public","489","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/customer/:tenantSlug/auth/callback","public","490","","","not included in general sweep","no"
"/customer/:tenantSlug","customer-auth","494","","360 / 390 / 768 / 1440","redirect; destination only","no"
"/customer/:tenantSlug/returns","customer-auth","495","","360 / 390 / 768 / 1440","redirect; destination only","no"
"/customer/:tenantSlug/returns/new","customer-auth","496","","360 / 390 / 768 / 1440","redirect; destination only","no"
"/customer/:tenantSlug/returns/:id","customer-auth","497","","360 / 390 / 768 / 1440","redirect; destination only","no"
